attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
"asset,asset_set,customer",<p>AssetSetAsset is the link between an asset and an asset set. Adding an AssetSetAsset links an asset with an asset set.</p>,"asset,asset_set,resource_name,status","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,top_impression_percentage,value_per_all_conversions,value_per_conversion","ad_network_type,asset_interaction_target.asset,asset_interaction_target.interaction_on_this_asset,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Asset Set Asset,"ad_group,campaign",1
"accessible_bidding_strategy,ad_group,ad_group_criterion,bidding_strategy,campaign,customer",<p>An age range view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Age Range View,None,1
customer,<p>An asset group. AssetGroupAsset is used to link an asset to the asset group. AssetGroupSignal is used to associate a signal to an asset group.</p>,"ad_strength,campaign,final_mobile_urls,final_urls,id,name,path1,path2,primary_status,primary_status_reasons,resource_name,status","all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cart_size,average_cost,average_cpc,average_order_value_micros,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,cross_device_conversions_value_micros,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,gross_profit_margin,gross_profit_micros,impressions,interaction_event_types,interaction_rate,interactions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,orders,revenue_micros,value_per_all_conversions,value_per_conversion,view_through_conversions",,Asset Group,campaign,1
"accessible_bidding_strategy,bidding_strategy,campaign,customer",<p>An ad group.</p>,"ad_rotation_mode,audience_setting.use_audience_grouped,base_ad_group,campaign,cpc_bid_micros,cpm_bid_micros,cpv_bid_micros,display_custom_bid_dimension,effective_cpc_bid_micros,effective_target_cpa_micros,effective_target_cpa_source,effective_target_roas,effective_target_roas_source,excluded_parent_asset_field_types,excluded_parent_asset_set_types,final_url_suffix,id,labels,name,optimized_targeting_enabled,percent_cpc_bid_micros,resource_name,status,target_cpa_micros,target_cpm_micros,target_roas,targeting_setting.target_restrictions,tracking_url_template,type,url_custom_parameters","absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,all_new_customer_lifetime_value,auction_insight_search_absolute_top_impression_percentage,auction_insight_search_impression_share,auction_insight_search_outranking_share,auction_insight_search_overlap_rate,auction_insight_search_position_above_rate,auction_insight_search_top_impression_percentage,average_cart_size,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,average_order_value_micros,average_page_views,average_time_on_site,benchmark_average_max_cpc,biddable_app_install_conversions,biddable_app_post_install_conversions,bounce_rate,clicks,content_budget_lost_impression_share,content_impression_share,content_rank_lost_impression_share,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_by_conversion_date,conversions_value_per_cost,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cost_per_current_model_attributed_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,current_model_attributed_conversions,current_model_attributed_conversions_from_interactions_rate,current_model_attributed_conversions_from_interactions_value_per_interaction,current_model_attributed_conversions_value,current_model_attributed_conversions_value_per_cost,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,gross_profit_margin,gross_profit_micros,historical_creative_quality_score,historical_landing_page_quality_score,historical_quality_score,historical_search_predicted_ctr,hotel_average_lead_value_micros,hotel_eligible_impressions,hotel_price_difference_percentage,impressions,interaction_event_types,interaction_rate,interactions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,message_chat_rate,message_chats,message_impressions,mobile_friendly_clicks_percentage,new_customer_lifetime_value,orders,percent_new_visitors,phone_calls,phone_impressions,phone_through_rate,relative_ctr,revenue_micros,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_click_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,speed_score,top_impression_percentage,units_sold,valid_accelerated_mobile_pages_clicks_percentage,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,value_per_current_model_attributed_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","activity_account_id,activity_rating,ad_destination_type,ad_network_type,asset_interaction_target.asset,asset_interaction_target.interaction_on_this_asset,auction_insight_domain,click_type,conversion_action,conversion_action_category,conversion_action_name,conversion_adjustment,conversion_attribution_event_type,conversion_lag_bucket,conversion_or_adjustment_lag_bucket,date,day_of_week,device,external_activity_id,external_conversion_source,geo_target_airport,geo_target_canton,geo_target_city,geo_target_country,geo_target_county,geo_target_district,geo_target_metro,geo_target_most_specific_location,geo_target_postal_code,geo_target_province,geo_target_region,geo_target_state,hotel_booking_window_days,hotel_center_id,hotel_check_in_date,hotel_check_in_day_of_week,hotel_city,hotel_class,hotel_country,hotel_date_selection_type,hotel_length_of_stay,hotel_price_bucket,hotel_rate_rule_id,hotel_rate_type,hotel_state,hour,interaction_on_this_extension,month,month_of_year,new_versus_returning_customers,partner_hotel_id,placeholder_type,product_aggregator_id,product_brand,product_category_level1,product_category_level2,product_category_level3,product_category_level4,product_category_level5,product_channel,product_channel_exclusivity,product_condition,product_country,product_custom_attribute0,product_custom_attribute1,product_custom_attribute2,product_custom_attribute3,product_custom_attribute4,product_feed_label,product_item_id,product_language,product_merchant_id,product_store_id,product_title,product_type_l1,product_type_l2,product_type_l3,product_type_l4,product_type_l5,quarter,search_engine_results_page_type,slot,week,year",Ad Group,None,1
customer,<p>A bidding strategy.</p>,"aligned_campaign_budget_id,campaign_count,currency_code,effective_currency_code,enhanced_cpc,id,maximize_conversion_value.cpc_bid_ceiling_micros,maximize_conversion_value.cpc_bid_floor_micros,maximize_conversion_value.target_roas,maximize_conversions.cpc_bid_ceiling_micros,maximize_conversions.cpc_bid_floor_micros,maximize_conversions.target_cpa_micros,name,non_removed_campaign_count,resource_name,status,target_cpa.cpc_bid_ceiling_micros,target_cpa.cpc_bid_floor_micros,target_cpa.target_cpa_micros,target_impression_share.cpc_bid_ceiling_micros,target_impression_share.location,target_impression_share.location_fraction_micros,target_roas.cpc_bid_ceiling_micros,target_roas.cpc_bid_floor_micros,target_roas.target_roas,target_spend.cpc_bid_ceiling_micros,target_spend.target_spend_micros,type","all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpm,average_cpv,average_target_cpa_micros,average_target_roas,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,hour,month,month_of_year,quarter,slot,week,year",Bidding Strategy,None,1
"asset_group,asset_group_listing_group_filter,campaign,customer",<p>An asset group product group view.</p>,"asset_group,asset_group_listing_group_filter,resource_name","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cart_size,average_cpc,average_cpm,average_order_value_micros,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,gross_profit_margin,gross_profit_micros,impressions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,orders,revenue_micros,units_sold,value_per_all_conversions,value_per_conversion,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Asset Group Product Group View,None,1
customer,<p>An asset field type view. This view reports non-overcounted metrics for each asset field type when the asset is used as extension.</p>,"field_type,resource_name","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Asset Field Type View,"ad_group,campaign",1
"campaign,campaign_criterion,customer",<p>An ad schedule view summarizes the performance of campaigns by AdSchedule criteria.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","conversion_action,conversion_action_category,conversion_action_name,date,external_conversion_source,month,month_of_year,quarter,week,year",Ad Schedule View,None,1
"ad_group,ad_group_criterion,campaign,customer","<p>An ad group audience view. Includes performance data from interests and remarketing lists for Display Network and YouTube Network ads, and remarketing lists for search ads (RLSA), aggregated at the audience level.</p>",resource_name,"absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_value,conversions_value_by_conversion_date,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,hotel_date_selection_type,month,month_of_year,quarter,slot,week,year",Ad Group Audience View,"bidding_strategy,user_list",1
customer,<p>An asset set type view. This view reports non-overcounted metrics for each asset set type. Child asset set types are not included in this report. Their stats are aggregated under the parent asset set type.</p>,"asset_set_type,resource_name","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Asset Set Type View,"ad_group,campaign",1
